route,depart_date,base_price,price,historical_mean,demand_index
BOM-DEL,2025-01-23T00:00:00,4500,4820.0,4573.91,1.016
DEL-SIN,2025-04-07T00:00:00,42000,38274.0,41912.03,0.96
DEL-BOM,2025-03-08T00:00:00,4500,5533.0,4474.38,1.089
DEL-LHR,2025-02-13T00:00:00,78000,78815.0,78809.47,0.992
DEL-JFK,2025-01-04T00:00:00,150000,162472.0,148984.21,1.03
DEL-BLR,2025-03-09T00:00:00,4200,4309.0,4259.57,1.001
DEL-CDG,2025-02-07T00:00:00,82000,98018.0,81879.47,1.12
DEL-LHR,2025-04-03T00:00:00,78000,80966.0,78809.47,1.015
DEL-LHR,2025-03-05T00:00:00,78000,79690.0,78809.47,0.97
DEL-MAA,2025-03-22T00:00:00,4800,4847.0,4731.56,0.923
DEL-CDG,2025-02-26T00:00:00,82000,83996.0,81879.47,1.075
DEL-SFO,2025-01-13T00:00:00,155000,128012.0,153026.8,0.852
MAA-SIN,2025-02-10T00:00:00,43000,40828.0,43609.84,0.952
MAA-SIN,2025-03-02T00:00:00,43000,40224.0,43609.84,0.903
HYD-DEL,2025-03-29T00:00:00,4000,4608.0,3959.32,1.021
DEL-MAA,2025-01-23T00:00:00,4800,5225.0,4731.56,1.053
BOM-LHR,2025-03-16T00:00:00,80000,83131.0,78553.85,1.045
MAA-SIN,2025-02-19T00:00:00,43000,45992.0,43609.84,1.069
GOA-DEL,2025-03-06T00:00:00,5200,5046.0,5301.36,0.958
MAA-DEL,2025-01-20T00:00:00,4800,4684.0,4719.36,1.092
MAA-SIN,2025-02-01T00:00:00,43000,48257.0,43609.84,1.008
DEL-GOA,2025-01-14T00:00:00,5200,5681.0,5135.18,1.134
DEL-LHR,2025-01-31T00:00:00,78000,83757.0,78809.47,0.984
DEL-CDG,2025-03-24T00:00:00,82000,86661.0,81879.47,1.096
BOM-LHR,2025-02-28T00:00:00,80000,78047.0,78553.85,0.933
DEL-MAA,2025-02-23T00:00:00,4800,5585.0,4731.56,1.059
GOA-DEL,2025-01-31T00:00:00,5200,6774.0,5301.36,1.123
MAA-DEL,2025-02-04T00:00:00,4800,4782.0,4719.36,1.058
DEL-HYD,2025-03-07T00:00:00,4000,4764.0,3948.02,1.187
DEL-BKK,2025-03-26T00:00:00,26000,29638.0,26199.07,1.037
DEL-CDG,2025-02-09T00:00:00,82000,101211.0,81879.47,1.168
DEL-BOM,2025-03-03T00:00:00,4500,4225.0,4474.38,0.878
MAA-DEL,2025-02-05T00:00:00,4800,4765.0,4719.36,1.059
DEL-HYD,2025-03-10T00:00:00,4000,3559.0,3948.02,0.967
DEL-BOM,2025-02-10T00:00:00,4500,4806.0,4474.38,0.999
HYD-DEL,2025-01-20T00:00:00,4000,4286.0,3959.32,1.067
DEL-GOA,2025-04-03T00:00:00,5200,5027.0,5135.18,1.005
DEL-MAA,2025-01-21T00:00:00,4800,4394.0,4731.56,0.951
DEL-DXB,2025-03-27T00:00:00,23000,22187.0,22540.02,0.962
DEL-SFO,2025-04-09T00:00:00,155000,156638.0,153026.8,0.992
BOM-DEL,2025-03-07T00:00:00,4500,5811.0,4573.91,1.167
DEL-DXB,2025-01-23T00:00:00,23000,22497.0,22540.02,1.026
DEL-BKK,2025-02-10T00:00:00,26000,26245.0,26199.07,0.967
MAA-DEL,2025-03-30T00:00:00,4800,4938.0,4719.36,1.004
GOA-DEL,2025-02-06T00:00:00,5200,5853.0,5301.36,1.056
DEL-CDG,2025-03-03T00:00:00,82000,71781.0,81879.47,0.95
DEL-HYD,2025-02-11T00:00:00,4000,3451.0,3948.02,0.937
DEL-BLR,2025-03-13T00:00:00,4200,3852.0,4259.57,0.969
MAA-SIN,2025-01-08T00:00:00,43000,42882.0,43609.84,0.949
DEL-BOM,2025-03-01T00:00:00,4500,4705.0,4474.38,1.022
DEL-BLR,2025-02-21T00:00:00,4200,4245.0,4259.57,1.017
BLR-DEL,2025-04-09T00:00:00,4200,4362.0,4167.2,0.964
DEL-CDG,2025-03-30T00:00:00,82000,84046.0,81879.47,1.048
DEL-GOA,2025-02-20T00:00:00,5200,4609.0,5135.18,0.945
BOM-DEL,2025-02-02T00:00:00,4500,5606.0,4573.91,1.075
BOM-DXB,2025-03-01T00:00:00,23500,25384.0,23934.7,0.985
MAA-DEL,2025-04-04T00:00:00,4800,4998.0,4719.36,0.976
BOM-DXB,2025-04-02T00:00:00,23500,28824.0,23934.7,1.152
DEL-JFK,2025-01-01T00:00:00,150000,191884.0,148984.21,1.001
BOM-DXB,2025-01-15T00:00:00,23500,24902.0,23934.7,1.008
DEL-SIN,2025-01-12T00:00:00,42000,41836.0,41912.03,0.96
DEL-DXB,2025-01-07T00:00:00,23000,22217.0,22540.02,1.021
BOM-DXB,2025-01-27T00:00:00,23500,29637.0,23934.7,1.161
DEL-MAA,2025-01-27T00:00:00,4800,4544.0,4731.56,0.959
DEL-LHR,2025-02-28T00:00:00,78000,87229.0,78809.47,1.042
DEL-BKK,2025-04-04T00:00:00,26000,30233.0,26199.07,1.015
MAA-DEL,2025-04-01T00:00:00,4800,4374.0,4719.36,0.888
DEL-SFO,2025-02-27T00:00:00,155000,163947.0,153026.8,1.117
DEL-SFO,2025-03-18T00:00:00,155000,139858.0,153026.8,0.891
DEL-SIN,2025-02-02T00:00:00,42000,44018.0,41912.03,0.974
DEL-HYD,2025-03-27T00:00:00,4000,4033.0,3948.02,1.066
BOM-DEL,2025-04-09T00:00:00,4500,4622.0,4573.91,0.959
DEL-LHR,2025-01-12T00:00:00,78000,85327.0,78809.47,1.019
DEL-MAA,2025-02-06T00:00:00,4800,4713.0,4731.56,0.987
BLR-DEL,2025-04-03T00:00:00,4200,4197.0,4167.2,0.894
MAA-SIN,2025-02-05T00:00:00,43000,43306.0,43609.84,0.991
DEL-GOA,2025-01-15T00:00:00,5200,4662.0,5135.18,0.944
MAA-SIN,2025-04-04T00:00:00,43000,45891.0,43609.84,1.049
MAA-DEL,2025-03-18T00:00:00,4800,4856.0,4719.36,1.014
DEL-HYD,2025-03-28T00:00:00,4000,3709.0,3948.02,0.979
MAA-SIN,2025-02-02T00:00:00,43000,44483.0,43609.84,0.942
GOA-DEL,2025-01-07T00:00:00,5200,5353.0,5301.36,0.958
DEL-BKK,2025-02-28T00:00:00,26000,27086.0,26199.07,0.962
BLR-DEL,2025-02-11T00:00:00,4200,4255.0,4167.2,1.006
BOM-DXB,2025-02-27T00:00:00,23500,25279.0,23934.7,1.023
DEL-BLR,2025-01-03T00:00:00,4200,5313.0,4259.57,1.126
DEL-BKK,2025-01-22T00:00:00,26000,26265.0,26199.07,0.978
DEL-JFK,2025-03-11T00:00:00,150000,162978.0,148984.21,0.984
BOM-LHR,2025-01-23T00:00:00,80000,78853.0,78553.85,1.027
BOM-DEL,2025-02-09T00:00:00,4500,4701.0,4573.91,0.914
DEL-CDG,2025-03-11T00:00:00,82000,90912.0,81879.47,1.152
DEL-LHR,2025-02-06T00:00:00,78000,80962.0,78809.47,1.006
DEL-MAA,2025-03-25T00:00:00,4800,4891.0,4731.56,0.982
DEL-BOM,2025-03-07T00:00:00,4500,4847.0,4474.38,0.952
BOM-DEL,2025-03-18T00:00:00,4500,4396.0,4573.91,0.942
GOA-DEL,2025-02-11T00:00:00,5200,6132.0,5301.36,1.121
DEL-DXB,2025-01-14T00:00:00,23000,21947.0,22540.02,1.007
DEL-MAA,2025-02-09T00:00:00,4800,5252.0,4731.56,1.002
DEL-BOM,2025-03-13T00:00:00,4500,4690.0,4474.38,0.99
BLR-DEL,2025-03-26T00:00:00,4200,4752.0,4167.2,1.07
DEL-HYD,2025-02-09T00:00:00,4000,4253.0,3948.02,1.051
DEL-BOM,2025-02-14T00:00:00,4500,6597.0,4474.38,1.112
DEL-HYD,2025-02-01T00:00:00,4000,4107.0,3948.02,0.979
DEL-MAA,2025-02-15T00:00:00,4800,5372.0,4731.56,1.097
MAA-DEL,2025-04-07T00:00:00,4800,4269.0,4719.36,0.905
HYD-DEL,2025-01-18T00:00:00,4000,4615.0,3959.32,1.104
DEL-BKK,2025-03-14T00:00:00,26000,30402.0,26199.07,1.04
BOM-LHR,2025-03-18T00:00:00,80000,85514.0,78553.85,1.055
DEL-MAA,2025-03-28T00:00:00,4800,4822.0,4731.56,0.92
DEL-GOA,2025-03-22T00:00:00,5200,6083.0,5135.18,1.161
DEL-MAA,2025-01-16T00:00:00,4800,5104.0,4731.56,1.114
DEL-BOM,2025-03-15T00:00:00,4500,4838.0,4474.38,0.975
MAA-SIN,2025-03-13T00:00:00,43000,36783.0,43609.84,0.86
DEL-JFK,2025-01-30T00:00:00,150000,171286.0,148984.21,1.081
MAA-SIN,2025-02-24T00:00:00,43000,40021.0,43609.84,0.912
DEL-BOM,2025-02-20T00:00:00,4500,4268.0,4474.38,0.934
DEL-MAA,2025-01-14T00:00:00,4800,4337.0,4731.56,0.95
BOM-DXB,2025-03-27T00:00:00,23500,25252.0,23934.7,0.996
BOM-DXB,2025-01-08T00:00:00,23500,24823.0,23934.7,1.037
GOA-DEL,2025-01-16T00:00:00,5200,5311.0,5301.36,0.954
BOM-DEL,2025-01-11T00:00:00,4500,4401.0,4573.91,0.919
DEL-HYD,2025-01-27T00:00:00,4000,3585.0,3948.02,0.935
BOM-DEL,2025-03-23T00:00:00,4500,5362.0,4573.91,1.067
DEL-LHR,2025-03-07T00:00:00,78000,90650.0,78809.47,1.112
DEL-MAA,2025-01-26T00:00:00,4800,5230.0,4731.56,0.997
DEL-JFK,2025-03-16T00:00:00,150000,169340.0,148984.21,1.039
MAA-DEL,2025-02-02T00:00:00,4800,4655.0,4719.36,0.979
GOA-DEL,2025-02-22T00:00:00,5200,5781.0,5301.36,0.985
GOA-DEL,2025-03-07T00:00:00,5200,5450.0,5301.36,1.008
BOM-DXB,2025-02-26T00:00:00,23500,23605.0,23934.7,0.928
DEL-MAA,2025-01-09T00:00:00,4800,4707.0,4731.56,0.996
BOM-LHR,2025-01-15T00:00:00,80000,72779.0,78553.85,0.875
DEL-GOA,2025-04-05T00:00:00,5200,5661.0,5135.18,1.043
DEL-CDG,2025-02-08T00:00:00,82000,79647.0,81879.47,0.992
MAA-DEL,2025-02-18T00:00:00,4800,4229.0,4719.36,0.914
DEL-HYD,2025-02-06T00:00:00,4000,3158.0,3948.02,0.874
BOM-DXB,2025-03-31T00:00:00,23500,26880.0,23934.7,1.125
BOM-LHR,2025-01-08T00:00:00,80000,75730.0,78553.85,0.983
DEL-SFO,2025-02-09T00:00:00,155000,163882.0,153026.8,1.1
MAA-SIN,2025-03-23T00:00:00,43000,34984.0,43609.84,0.878
BLR-DEL,2025-03-24T00:00:00,4200,5049.0,4167.2,1.116
DEL-SFO,2025-02-10T00:00:00,155000,145261.0,153026.8,0.972
DEL-SIN,2025-03-02T00:00:00,42000,40416.0,41912.03,0.965
BLR-DEL,2025-03-12T00:00:00,4200,4690.0,4167.2,1.045
DEL-BOM,2025-04-03T00:00:00,4500,4526.0,4474.38,0.978
MAA-DEL,2025-03-03T00:00:00,4800,3938.0,4719.36,0.876
MAA-SIN,2025-02-26T00:00:00,43000,37231.0,43609.84,0.933
DEL-JFK,2025-03-18T00:00:00,150000,177661.0,148984.21,1.052
BOM-LHR,2025-02-21T00:00:00,80000,77410.0,78553.85,0.926
HYD-DEL,2025-02-19T00:00:00,4000,3791.0,3959.32,0.927
DEL-BOM,2025-03-14T00:00:00,4500,4847.0,4474.38,0.952
DEL-LHR,2025-02-19T00:00:00,78000,66372.0,78809.47,0.845
DEL-DXB,2025-02-04T00:00:00,23000,22798.0,22540.02,1.059
DEL-CDG,2025-02-13T00:00:00,82000,81229.0,81879.47,1.07
BOM-DEL,2025-03-13T00:00:00,4500,4740.0,4573.91,1.014
BOM-LHR,2025-03-11T00:00:00,80000,75909.0,78553.85,0.939
GOA-DEL,2025-01-22T00:00:00,5200,5469.0,5301.36,0.99
GOA-DEL,2025-02-03T00:00:00,5200,5666.0,5301.36,1.062
GOA-DEL,2025-03-19T00:00:00,5200,4788.0,5301.36,0.919
MAA-DEL,2025-01-19T00:00:00,4800,4678.0,4719.36,1.062
BOM-DEL,2025-02-04T00:00:00,4500,4636.0,4573.91,0.958
HYD-DEL,2025-02-15T00:00:00,4000,4411.0,3959.32,1.016
DEL-BKK,2025-02-21T00:00:00,26000,32503.0,26199.07,1.087
DEL-DXB,2025-02-22T00:00:00,23000,22141.0,22540.02,0.944
DEL-SFO,2025-01-24T00:00:00,155000,182871.0,153026.8,1.129
DEL-BLR,2025-01-16T00:00:00,4200,4186.0,4259.57,0.999
GOA-DEL,2025-01-08T00:00:00,5200,6039.0,5301.36,1.099
DEL-HYD,2025-01-01T00:00:00,4000,4905.0,3948.02,0.951
DEL-SFO,2025-03-21T00:00:00,155000,157173.0,153026.8,1.002
DEL-LHR,2025-03-14T00:00:00,78000,91543.0,78809.47,1.092
DEL-HYD,2025-01-04T00:00:00,4000,3794.0,3948.02,0.99
DEL-MAA,2025-03-07T00:00:00,4800,5396.0,4731.56,1.04
DEL-SFO,2025-03-19T00:00:00,155000,120278.0,153026.8,0.8
BLR-DEL,2025-04-10T00:00:00,4200,4047.0,4167.2,0.915
DEL-BKK,2025-01-07T00:00:00,26000,25161.0,26199.07,0.939
DEL-DXB,2025-02-25T00:00:00,23000,20615.0,22540.02,0.947
DEL-SIN,2025-02-01T00:00:00,42000,45844.0,41912.03,1.043
BOM-DXB,2025-03-21T00:00:00,23500,29087.0,23934.7,1.139
DEL-HYD,2025-04-09T00:00:00,4000,3577.0,3948.02,0.944
GOA-DEL,2025-01-28T00:00:00,5200,4970.0,5301.36,0.878
DEL-CDG,2025-03-13T00:00:00,82000,80361.0,81879.47,1.052
DEL-SFO,2025-01-10T00:00:00,155000,178300.0,153026.8,1.076
DEL-JFK,2025-01-22T00:00:00,150000,168593.0,148984.21,1.075
MAA-DEL,2025-03-09T00:00:00,4800,4657.0,4719.36,0.964
DEL-BLR,2025-02-13T00:00:00,4200,4094.0,4259.57,0.958
DEL-BOM,2025-03-16T00:00:00,4500,5369.0,4474.38,1.043
DEL-DXB,2025-04-07T00:00:00,23000,22493.0,22540.02,1.001
BLR-DEL,2025-01-02T00:00:00,4200,3985.0,4167.2,1.005
DEL-BKK,2025-02-01T00:00:00,26000,27367.0,26199.07,1.007
DEL-CDG,2025-01-22T00:00:00,82000,77803.0,81879.47,0.985
DEL-JFK,2025-02-02T00:00:00,150000,181602.0,148984.21,1.08
BLR-DEL,2025-01-08T00:00:00,4200,4466.0,4167.2,1.046
BOM-LHR,2025-01-18T00:00:00,80000,82837.0,78553.85,1.113
DEL-MAA,2025-04-08T00:00:00,4800,4693.0,4731.56,0.948
DEL-SFO,2025-03-22T00:00:00,155000,144367.0,153026.8,0.921
HYD-DEL,2025-03-23T00:00:00,4000,4421.0,3959.32,1.017
GOA-DEL,2025-02-26T00:00:00,5200,5815.0,5301.36,1.072
DEL-GOA,2025-01-20T00:00:00,5200,4837.0,5135.18,0.941
DEL-SIN,2025-01-07T00:00:00,42000,33400.0,41912.03,0.8
DEL-SFO,2025-02-05T00:00:00,155000,139652.0,153026.8,0.906
HYD-DEL,2025-01-10T00:00:00,4000,4855.0,3959.32,1.095
DEL-DXB,2025-02-07T00:00:00,23000,28233.0,22540.02,1.193
DEL-BLR,2025-03-14T00:00:00,4200,4278.0,4259.57,0.971
DEL-BKK,2025-03-25T00:00:00,26000,25953.0,26199.07,0.941
DEL-BKK,2025-03-13T00:00:00,26000,27683.0,26199.07,0.978
BOM-DXB,2025-02-04T00:00:00,23500,23786.0,23934.7,0.953
MAA-SIN,2025-02-28T00:00:00,43000,42351.0,43609.84,0.995
DEL-MAA,2025-03-23T00:00:00,4800,5097.0,4731.56,1.0
DEL-DXB,2025-03-10T00:00:00,23000,23560.0,22540.02,1.067
MAA-DEL,2025-01-07T00:00:00,4800,3885.0,4719.36,0.902
DEL-BKK,2025-02-07T00:00:00,26000,32880.0,26199.07,1.165
DEL-JFK,2025-03-03T00:00:00,150000,167658.0,148984.21,0.999
DEL-SFO,2025-03-31T00:00:00,155000,159199.0,153026.8,1.069
MAA-SIN,2025-03-18T00:00:00,43000,41304.0,43609.84,1.039
DEL-JFK,2025-03-08T00:00:00,150000,155506.0,148984.21,0.929
MAA-SIN,2025-02-25T00:00:00,43000,40204.0,43609.84,0.96
BOM-DEL,2025-01-12T00:00:00,4500,5375.0,4573.91,1.066
DEL-HYD,2025-03-04T00:00:00,4000,4070.0,3948.02,1.033
DEL-MAA,2025-01-06T00:00:00,4800,4637.0,4731.56,0.997
BOM-DXB,2025-01-31T00:00:00,23500,25742.0,23934.7,0.935
BOM-LHR,2025-02-19T00:00:00,80000,71504.0,78553.85,0.9
BOM-DEL,2025-01-10T00:00:00,4500,4908.0,4573.91,0.987
DEL-BOM,2025-01-27T00:00:00,4500,4322.0,4474.38,0.944
DEL-JFK,2025-02-27T00:00:00,150000,145795.0,148984.21,0.915
GOA-DEL,2025-01-11T00:00:00,5200,5803.0,5301.36,1.045
DEL-SFO,2025-02-13T00:00:00,155000,152259.0,153026.8,0.967
BOM-DXB,2025-03-25T00:00:00,23500,24250.0,23934.7,0.978
DEL-CDG,2025-03-27T00:00:00,82000,86451.0,81879.47,1.152
BLR-DEL,2025-02-18T00:00:00,4200,4049.0,4167.2,0.95
DEL-LHR,2025-02-24T00:00:00,78000,71673.0,78809.47,0.935
DEL-SFO,2025-02-26T00:00:00,155000,140565.0,153026.8,0.908
DEL-HYD,2025-01-26T00:00:00,4000,4032.0,3948.02,0.998
DEL-HYD,2025-02-12T00:00:00,4000,3655.0,3948.02,0.987
HYD-DEL,2025-02-06T00:00:00,4000,4362.0,3959.32,1.051
MAA-DEL,2025-03-17T00:00:00,4800,5072.0,4719.36,0.921
MAA-DEL,2025-02-27T00:00:00,4800,4968.0,4719.36,1.103
DEL-BKK,2025-02-05T00:00:00,26000,29715.0,26199.07,1.074
BOM-DXB,2025-03-02T00:00:00,23500,27024.0,23934.7,1.027
BOM-DXB,2025-02-17T00:00:00,23500,22371.0,23934.7,0.912
DEL-SIN,2025-03-03T00:00:00,42000,41202.0,41912.03,1.043
MAA-SIN,2025-02-12T00:00:00,43000,45960.0,43609.84,1.08
DEL-BOM,2025-03-28T00:00:00,4500,5144.0,4474.38,1.015
BOM-LHR,2025-01-05T00:00:00,80000,88950.0,78553.85,1.053
DEL-DXB,2025-02-27T00:00:00,23000,23917.0,22540.02,1.031
MAA-DEL,2025-04-09T00:00:00,4800,4589.0,4719.36,0.985
DEL-HYD,2025-02-02T00:00:00,4000,4141.0,3948.02,1.045
MAA-SIN,2025-03-03T00:00:00,43000,41404.0,43609.84,1.01
BOM-LHR,2025-02-07T00:00:00,80000,86235.0,78553.85,1.073
DEL-LHR,2025-03-29T00:00:00,78000,83398.0,78809.47,1.062
DEL-DXB,2025-02-10T00:00:00,23000,20638.0,22540.02,0.906
DEL-BKK,2025-01-31T00:00:00,26000,28848.0,26199.07,0.99
HYD-DEL,2025-01-07T00:00:00,4000,3933.0,3959.32,0.994
DEL-HYD,2025-01-05T00:00:00,4000,3892.0,3948.02,0.956
BOM-LHR,2025-03-21T00:00:00,80000,97551.0,78553.85,1.159
DEL-BKK,2025-01-05T00:00:00,26000,28449.0,26199.07,1.039
GOA-DEL,2025-03-09T00:00:00,5200,5693.0,5301.36,1.02
DEL-GOA,2025-01-10T00:00:00,5200,5120.0,5135.18,1.019
DEL-SFO,2025-04-03T00:00:00,155000,160806.0,153026.8,1.041
DEL-LHR,2025-03-06T00:00:00,78000,80660.0,78809.47,1.039
MAA-SIN,2025-01-23T00:00:00,43000,43279.0,43609.84,0.996
DEL-DXB,2025-01-11T00:00:00,23000,18372.0,22540.02,0.805
DEL-MAA,2025-04-04T00:00:00,4800,5681.0,4731.56,1.084
BOM-DXB,2025-01-21T00:00:00,23500,22711.0,23934.7,0.919
DEL-BOM,2025-03-19T00:00:00,4500,3827.0,4474.38,0.837
DEL-JFK,2025-02-16T00:00:00,150000,185912.0,148984.21,1.116
BOM-DEL,2025-02-28T00:00:00,4500,5078.0,4573.91,0.987
DEL-SIN,2025-01-11T00:00:00,42000,37924.0,41912.03,0.858
DEL-BOM,2025-02-06T00:00:00,4500,4029.0,4474.38,0.871
MAA-DEL,2025-02-21T00:00:00,4800,5148.0,4719.36,1.08
DEL-JFK,2025-03-09T00:00:00,150000,170344.0,148984.21,1.039
DEL-JFK,2025-01-13T00:00:00,150000,140579.0,148984.21,0.91
DEL-BOM,2025-01-09T00:00:00,4500,4212.0,4474.38,0.923
BOM-DXB,2025-03-28T00:00:00,23500,28086.0,23934.7,1.1
DEL-LHR,2025-03-02T00:00:00,78000,73927.0,78809.47,0.962
DEL-BLR,2025-02-28T00:00:00,4200,4137.0,4259.57,0.954
DEL-GOA,2025-02-01T00:00:00,5200,5329.0,5135.18,1.0
DEL-SFO,2025-03-03T00:00:00,155000,161732.0,153026.8,0.98
DEL-JFK,2025-03-01T00:00:00,150000,148862.0,148984.21,0.947
DEL-JFK,2025-01-17T00:00:00,150000,182719.0,148984.21,1.102
BOM-DEL,2025-03-05T00:00:00,4500,5127.0,4573.91,1.107
MAA-DEL,2025-01-06T00:00:00,4800,4594.0,4719.36,0.961
DEL-SIN,2025-03-07T00:00:00,42000,40339.0,41912.03,0.976
DEL-SIN,2025-01-22T00:00:00,42000,40669.0,41912.03,0.952
BOM-LHR,2025-01-30T00:00:00,80000,77690.0,78553.85,0.971
DEL-BKK,2025-01-17T00:00:00,26000,27685.0,26199.07,0.969
DEL-SIN,2025-02-21T00:00:00,42000,41049.0,41912.03,0.948
DEL-SIN,2025-01-25T00:00:00,42000,40949.0,41912.03,0.934
DEL-LHR,2025-04-05T00:00:00,78000,70310.0,78809.47,0.867
BLR-DEL,2025-01-19T00:00:00,4200,4366.0,4167.2,1.004
DEL-BKK,2025-02-19T00:00:00,26000,23985.0,26199.07,0.833
DEL-SFO,2025-04-04T00:00:00,155000,161355.0,153026.8,0.998
MAA-DEL,2025-01-23T00:00:00,4800,4397.0,4719.36,0.963
MAA-DEL,2025-01-14T00:00:00,4800,4358.0,4719.36,0.95
DEL-BLR,2025-03-23T00:00:00,4200,4997.0,4259.57,1.149
DEL-HYD,2025-01-16T00:00:00,4000,3997.0,3948.02,1.104
DEL-DXB,2025-01-19T00:00:00,23000,18751.0,22540.02,0.884
BOM-DEL,2025-03-22T00:00:00,4500,5341.0,4573.91,1.045
DEL-DXB,2025-01-30T00:00:00,23000,20854.0,22540.02,0.905
BOM-LHR,2025-03-30T00:00:00,80000,88755.0,78553.85,1.037
DEL-BLR,2025-03-26T00:00:00,4200,4314.0,4259.57,1.093
BOM-LHR,2025-03-19T00:00:00,80000,84343.0,78553.85,0.982
BOM-DEL,2025-01-30T00:00:00,4500,4588.0,4573.91,0.973
DEL-BLR,2025-01-07T00:00:00,4200,3684.0,4259.57,0.862
GOA-DEL,2025-02-15T00:00:00,5200,5929.0,5301.36,1.096
DEL-LHR,2025-02-23T00:00:00,78000,79313.0,78809.47,0.986
DEL-HYD,2025-01-15T00:00:00,4000,3834.0,3948.02,1.063
HYD-DEL,2025-03-15T00:00:00,4000,3992.0,3959.32,0.965
DEL-MAA,2025-02-21T00:00:00,4800,5194.0,4731.56,1.029
DEL-MAA,2025-04-01T00:00:00,4800,4932.0,4731.56,1.005
MAA-SIN,2025-03-22T00:00:00,43000,43306.0,43609.84,0.953
DEL-BOM,2025-03-29T00:00:00,4500,4739.0,4474.38,0.963
DEL-HYD,2025-02-18T00:00:00,4000,3472.0,3948.02,0.964
DEL-SFO,2025-03-27T00:00:00,155000,135415.0,153026.8,0.852
BOM-DXB,2025-03-10T00:00:00,23500,26364.0,23934.7,1.11
DEL-SIN,2025-02-16T00:00:00,42000,41936.0,41912.03,0.981
GOA-DEL,2025-01-06T00:00:00,5200,5569.0,5301.36,1.032
DEL-CDG,2025-01-27T00:00:00,82000,81345.0,81879.47,1.04
DEL-CDG,2025-01-02T00:00:00,82000,78710.0,81879.47,1.002
BOM-LHR,2025-01-29T00:00:00,80000,89711.0,78553.85,1.167
DEL-LHR,2025-04-10T00:00:00,78000,83793.0,78809.47,1.051
DEL-LHR,2025-02-08T00:00:00,78000,74191.0,78809.47,0.862
MAA-SIN,2025-01-06T00:00:00,43000,40494.0,43609.84,0.933
BOM-LHR,2025-02-20T00:00:00,80000,64663.0,78553.85,0.835
BOM-DEL,2025-01-28T00:00:00,4500,3962.0,4573.91,0.8
DEL-MAA,2025-02-12T00:00:00,4800,5343.0,4731.56,1.052
GOA-DEL,2025-03-16T00:00:00,5200,5123.0,5301.36,0.935
DEL-DXB,2025-03-29T00:00:00,23000,28195.0,22540.02,1.168
DEL-BKK,2025-01-21T00:00:00,26000,24982.0,26199.07,0.899
BOM-LHR,2025-02-05T00:00:00,80000,77610.0,78553.85,1.0
BLR-DEL,2025-03-19T00:00:00,4200,4416.0,4167.2,0.991
BOM-DXB,2025-01-23T00:00:00,23500,26584.0,23934.7,1.027
GOA-DEL,2025-01-05T00:00:00,5200,5709.0,5301.36,1.014
DEL-BLR,2025-03-28T00:00:00,4200,4798.0,4259.57,1.066
DEL-JFK,2025-03-25T00:00:00,150000,166150.0,148984.21,0.996
DEL-SFO,2025-02-17T00:00:00,155000,165396.0,153026.8,1.025
DEL-MAA,2025-02-27T00:00:00,4800,5483.0,4731.56,1.09
DEL-JFK,2025-01-29T00:00:00,150000,152924.0,148984.21,1.022
DEL-BLR,2025-02-24T00:00:00,4200,3678.0,4259.57,0.914
DEL-LHR,2025-01-02T00:00:00,78000,75270.0,78809.47,0.904
DEL-GOA,2025-02-13T00:00:00,5200,4427.0,5135.18,0.915
DEL-GOA,2025-03-19T00:00:00,5200,5674.0,5135.18,1.104
DEL-BOM,2025-01-22T00:00:00,4500,4236.0,4474.38,0.921
BLR-DEL,2025-01-14T00:00:00,4200,4185.0,4167.2,1.055
DEL-HYD,2025-03-24T00:00:00,4000,4110.0,3948.02,1.053
DEL-BKK,2025-01-29T00:00:00,26000,28690.0,26199.07,1.039
DEL-HYD,2025-04-10T00:00:00,4000,3700.0,3948.02,0.958
BLR-DEL,2025-03-16T00:00:00,4200,4546.0,4167.2,0.976
GOA-DEL,2025-03-23T00:00:00,5200,4563.0,5301.36,0.914
MAA-DEL,2025-03-31T00:00:00,4800,4283.0,4719.36,0.944
DEL-LHR,2025-03-01T00:00:00,78000,79776.0,78809.47,0.975
DEL-BLR,2025-01-19T00:00:00,4200,4110.0,4259.57,0.894
DEL-MAA,2025-01-24T00:00:00,4800,4789.0,4731.56,0.986
BOM-DXB,2025-02-13T00:00:00,23500,24392.0,23934.7,0.973
DEL-BOM,2025-03-27T00:00:00,4500,5298.0,4474.38,1.051
DEL-LHR,2025-03-25T00:00:00,78000,73265.0,78809.47,0.916
DEL-MAA,2025-01-29T00:00:00,4800,5593.0,4731.56,1.202
DEL-LHR,2025-01-10T00:00:00,78000,87766.0,78809.47,0.941
BOM-DXB,2025-01-19T00:00:00,23500,26310.0,23934.7,1.038
DEL-GOA,2025-03-11T00:00:00,5200,5226.0,5135.18,1.093
DEL-BLR,2025-02-01T00:00:00,4200,4979.0,4259.57,1.065
DEL-HYD,2025-02-10T00:00:00,4000,3156.0,3948.02,0.856
GOA-DEL,2025-01-23T00:00:00,5200,4998.0,5301.36,0.929
DEL-HYD,2025-04-05T00:00:00,4000,4273.0,3948.02,1.038
DEL-BOM,2025-01-15T00:00:00,4500,3872.0,4474.38,0.864
HYD-DEL,2025-01-14T00:00:00,4000,4142.0,3959.32,1.013
BOM-DEL,2025-01-27T00:00:00,4500,4873.0,4573.91,0.98
MAA-DEL,2025-03-02T00:00:00,4800,4699.0,4719.36,0.929
